model,case_id,repeat,runner_status,duration_seconds,capped_minutes,timeout,completed_within_limit,correct,result,false_positive_count,false_negative_count,events,commands,agent_messages,input_tokens,cached_input_tokens,output_tokens,prediction,expected,artifact_dir
Qwen3.6-27B-base,12,1,succeeded,2541.298,42.355,False,True,False,wrong,1,1,183,81,18,5265397,0,48861,"[""PE1;L3VPN配置错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q12-r01
Qwen3.6-27B-base,24,1,succeeded,1400.097,23.335,False,True,False,wrong,1,1,109,40,26,1087537,0,30982,"[""PE1;SRV6-Policy隧道规划错误""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q24-r01
Qwen3.6-27B-base,40,1,succeeded,2780.103,46.335,False,True,False,wrong,1,3,188,85,15,5780012,0,52212,"[""PE1;BGP配置错误""]","[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q40-r01
Qwen3.6-27B-base,72,1,succeeded,1744.281,29.071,False,True,False,wrong,2,3,133,64,2,4069490,0,48473,"[""PE1;L3VPN配置错误"", ""BJHQ_CSR1000V_GW_01;BGP配置错误""]","[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q72-r01
Qwen3.6-27B-base,86,1,succeeded,1140.22,19.004,False,True,True,correct,0,0,123,49,22,1885282,0,25635,"[""Core_SW_02;VRRP Master角色规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q86-r01
Qwen3.6-27B-base,100,1,succeeded,1113.384,18.556,False,True,False,wrong,1,1,101,37,24,1578898,0,25000,"[""Core_SW_01;VRRP Master角色规划不合理""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q100-r01
Qwen3.6-27B-base,12,2,succeeded,1559.968,25.999,False,True,False,wrong,2,1,129,50,26,3198788,0,37425,"[""PE2;SRV6-Policy隧道规划错误"", ""PE3;SRV6-Policy隧道规划错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q12-r02
Qwen3.6-27B-base,24,2,succeeded,814.333,13.572,False,True,False,wrong,2,1,94,45,1,1092951,0,18214,"[""PE1;ISIS配置错误"", ""PE2;ISIS配置错误""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q24-r02
Qwen3.6-27B-base,40,2,failed,3603.299,60.0,True,False,False,timeout,0,3,133,58,7,0,0,0,null,"[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q40-r02
Qwen3.6-27B-base,72,2,failed,3603.277,60.0,True,False,False,timeout,0,3,251,109,31,0,0,0,null,"[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q72-r02
