model,case_id,repeat,runner_status,duration_seconds,capped_minutes,timeout,completed_within_limit,correct,result,false_positive_count,false_negative_count,events,commands,agent_messages,input_tokens,cached_input_tokens,output_tokens,prediction,expected,artifact_dir
Qwen3.6-27B-trained,12,1,succeeded,428.223,7.137,False,True,True,correct,0,0,66,25,13,612453,0,9026,"[""Core_SW_02;全局STP未使能""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q12-r01
Qwen3.6-27B-trained,24,1,succeeded,609.964,10.166,False,True,False,wrong,1,0,87,38,8,860838,0,14433,"[""AGG_SW_01;STP BPDU被过滤"", ""Core_SW_02;VRRP工作在非抢占模式""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q24-r01
Qwen3.6-27B-trained,40,1,failed,3603.284,60.0,True,False,False,timeout,0,3,251,105,39,0,0,0,null,"[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q40-r01
Qwen3.6-27B-trained,72,1,failed,3603.26,60.0,True,False,False,timeout,0,3,178,77,22,0,0,0,null,"[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q72-r01
Qwen3.6-27B-trained,86,1,succeeded,350.365,5.839,False,True,False,wrong,1,0,49,17,12,482404,0,7517,"[""Core_SW_01;VRRP Master角色规划不合理"", ""Core_SW_02;VRRP Master角色规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q86-r01
Qwen3.6-27B-trained,100,1,succeeded,482.699,8.045,False,True,False,wrong,1,0,57,19,16,642372,0,11384,"[""Core_SW_01;VRRP工作在非抢占模式"", ""Core_SW_02;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q100-r01
Qwen3.6-27B-trained,12,2,succeeded,1061.308,17.688,False,True,True,correct,0,0,93,37,16,1604185,0,17677,"[""Core_SW_02;全局STP未使能""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q12-r02
Qwen3.6-27B-trained,24,2,succeeded,1241.903,20.698,False,True,True,correct,0,0,180,71,35,2598366,0,20957,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q24-r02
Qwen3.6-27B-trained,40,2,succeeded,2613.644,43.561,False,True,False,wrong,1,3,221,95,28,6559978,0,42732,"[""Core_SW_02;VRRP工作在非抢占模式""]","[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q40-r02
Qwen3.6-27B-trained,72,2,failed,3603.23,60.0,True,False,False,timeout,0,3,127,45,33,0,0,0,null,"[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q72-r02
Qwen3.6-27B-trained,86,2,succeeded,449.651,7.494,False,True,False,wrong,1,0,48,17,11,555041,0,11288,"[""Core_SW_01;VRRP Master角色规划不合理"", ""Core_SW_02;VRRP Master角色规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q86-r02
Qwen3.6-27B-trained,100,2,succeeded,336.655,5.611,False,True,True,correct,0,0,54,19,13,352045,0,7825,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q100-r02
Qwen3.6-27B-trained,12,3,succeeded,680.104,11.335,False,True,True,correct,0,0,89,32,22,1487170,0,11160,"[""Core_SW_02;全局STP未使能""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q12-r03
Qwen3.6-27B-trained,24,3,succeeded,928.306,15.472,False,True,False,wrong,2,0,118,46,23,1280998,0,18466,"[""AGG_SW_01;STP BPDU被过滤"", ""FW_01;安全策略规则未放通对应的用户"", ""FW_02;安全策略规则未放通对应的用户""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q24-r03
Qwen3.6-27B-trained,40,3,succeeded,1943.851,32.398,False,True,False,wrong,2,3,200,89,19,6081417,0,21768,"[""Core_SW_01;错误开启了边缘端口功能"", ""Core_SW_02;错误开启了边缘端口功能""]","[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q40-r03
Qwen3.6-27B-trained,72,3,succeeded,2792.403,46.54,False,True,False,wrong,1,3,130,54,19,3439880,0,46069,"[""PE1;BGP配置错误""]","[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q72-r03
Qwen3.6-27B-trained,86,3,succeeded,440.101,7.335,False,True,True,correct,0,0,43,17,6,478021,0,10776,"[""Core_SW_02;VRRP Master角色规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q86-r03
Qwen3.6-27B-trained,100,3,succeeded,386.336,6.439,False,True,True,correct,0,0,46,16,11,439261,0,8741,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q100-r03
Qwen3.6-27B-trained,12,4,succeeded,842.218,14.037,False,True,True,correct,0,0,109,43,20,1906514,0,13203,"[""Core_SW_02;全局STP未使能""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q12-r04
Qwen3.6-27B-trained,24,4,succeeded,1104.927,18.415,False,True,True,correct,0,0,110,46,15,1430237,0,21717,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q24-r04
Qwen3.6-27B-trained,40,4,failed,3603.236,60.0,True,False,False,timeout,0,3,226,95,34,0,0,0,null,"[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/lora-heldout6-step760-plus100-agent5-20260801T144226Z-q40-r04
