model,case_id,repeat,runner_status,duration_seconds,capped_minutes,timeout,completed_within_limit,correct,result,false_positive_count,false_negative_count,events,commands,agent_messages,input_tokens,cached_input_tokens,output_tokens,prediction,expected,artifact_dir
Qwen3.6-27B-trained,4,1,succeeded,620.981,10.35,False,True,True,correct,0,0,92,36,17,1539515,0,7777,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q4-r01
Qwen3.6-27B-trained,5,1,succeeded,1228.833,20.481,False,True,False,wrong,1,1,124,51,19,2472719,0,22142,"[""Core_SW_01;VRRP Master角色规划不合理""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q5-r01
Qwen3.6-27B-trained,20,1,succeeded,784.551,13.076,False,True,True,correct,0,0,92,36,17,1022979,0,16942,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q20-r01
Qwen3.6-27B-trained,89,1,succeeded,966.534,16.109,False,True,False,wrong,1,0,84,36,9,1388665,0,21530,"[""Core_SW_01;VRRP工作在非抢占模式"", ""Core_SW_02;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q89-r01
Qwen3.6-27B-trained,4,2,succeeded,806.644,13.444,False,True,True,correct,0,0,101,39,20,1892858,0,8956,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q4-r02
Qwen3.6-27B-trained,5,2,succeeded,1016.227,16.937,False,True,True,correct,0,0,133,54,22,2345032,0,12558,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q5-r02
Qwen3.6-27B-trained,20,2,succeeded,1060.39,17.673,False,True,True,correct,0,0,164,68,25,2767862,0,21053,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q20-r02
Qwen3.6-27B-trained,89,2,succeeded,467.727,7.795,False,True,True,correct,0,0,60,25,7,369673,0,9475,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q89-r02
Qwen3.6-27B-trained,4,3,succeeded,548.86,9.148,False,True,True,correct,0,0,92,39,11,989704,0,8488,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q4-r03
Qwen3.6-27B-trained,5,3,succeeded,720.878,12.015,False,True,True,correct,0,0,141,58,22,1389711,0,12731,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q5-r03
Qwen3.6-27B-trained,20,3,succeeded,958.486,15.975,False,True,False,wrong,1,1,133,55,20,2117108,0,16549,"[""Core_SW_01;VRRP Track配置缺失或错误""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q20-r03
Qwen3.6-27B-trained,89,3,succeeded,860.089,14.335,False,True,False,wrong,1,0,81,33,12,1075696,0,13994,"[""Core_SW_01;VRRP工作在非抢占模式"", ""Core_SW_02;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q89-r03
Qwen3.6-27B-trained,4,4,succeeded,360.572,6.01,False,True,True,correct,0,0,66,24,15,411391,0,5300,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q4-r04
Qwen3.6-27B-trained,5,4,succeeded,1807.946,30.132,False,True,True,correct,0,0,191,87,14,6253136,0,27007,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q5-r04
Qwen3.6-27B-trained,20,4,succeeded,759.146,12.652,False,True,True,correct,0,0,126,53,17,1808737,0,15362,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q20-r04
Qwen3.6-27B-trained,89,4,succeeded,340.569,5.676,False,True,True,correct,0,0,54,19,13,424961,0,6913,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q89-r04
Qwen3.6-27B-trained,4,5,succeeded,680.081,11.335,False,True,False,wrong,1,0,99,35,26,1588634,0,9473,"[""Core_SW_01;全局STP未使能"", ""SH_Core;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q4-r05
Qwen3.6-27B-trained,5,5,succeeded,1267.296,21.122,False,True,True,correct,0,0,166,74,15,2646764,0,22212,"[""Core_SW_01;全局STP未使能""]","[""Core_SW_01;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q5-r05
Qwen3.6-27B-trained,20,5,succeeded,922.586,15.376,False,True,True,correct,0,0,102,42,15,1454211,0,22581,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q20-r05
Qwen3.6-27B-trained,89,5,succeeded,560.085,9.335,False,True,True,correct,0,0,54,19,13,531801,0,10711,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/agent-ab-step760-plus100-20260731T143800Z-q89-r05
